"Source:","C:\Users\m.erasmus\OneDrive - Fugro\KiCAD\pappavis\DraadloosDeurbel\PCBs\draadlossdeurbel.kicad_sch"
"Date:","2023-03-28 2:44:28 PM"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","23"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","BZ1","Zoemer","Device:Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~","",""
"2","1","C1","0.05uF","Device:C","Capacitor_THT:C_Rect_L11.0mm_W8.8mm_P10.00mm_MKT","~","",""
"3","1","C2","250uF","Device:C_Polarized_US","Capacitor_SMD:CP_Elec_8x6.2","~","",""
"4","1","C3","10uF","Device:C","Capacitor_SMD:CP_Elec_8x6.2","~","",""
"5","1","C4","0.05uF","Device:C","Capacitor_SMD:CP_Elec_8x6.2","~","",""
"6","1","D1","LED","Device:LED","LED_THT:LED_D3.0mm","~","",""
"7","1","J1","AudioPlug3","Connector_Audio:AudioPlug3","Connector_Audio:Jack_3.5mm_CUI_SJ1-3535NG_Horizontal","~","",""
"8","1","J2","debug_01x04","Connector_Generic:Conn_01x04","Connector_PinSocket_1.27mm:PinSocket_1x04_P1.27mm_Vertical","~","",""
"9","1","J3","I2C_Oled_128X32","Connector_Generic:Conn_01x04","Connector_PinSocket_1.27mm:PinSocket_1x04_P1.27mm_Vertical","~","",""
"10","1","J4","TP4056_bat","Connector_Generic:Conn_01x04","Connector_PinSocket_1.27mm:PinSocket_1x04_P1.27mm_Vertical","~","",""
"11","1","Q1","BC161","Transistor_BJT:BC161","Package_TO_SOT_THT:TO-39-3","http://www.farnell.com/datasheets/1697389.pdf","",""
"12","1","Q2","BC338","Transistor_BJT:BC338","Package_TO_SOT_THT:TO-92_Inline","http://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337","",""
"13","1","R1","volume_pot","Device:R_Trim","Potentiometer_THT:Potentiometer_Vishay_43_Horizontal","~","",""
"14","3","R2, R4, R5","R10k","Device:R","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P7.62mm_Vertical","~","",""
"15","1","R3","R1k","Device:R","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P7.62mm_Vertical","~","",""
"16","1","R6","R100","Device:R","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P7.62mm_Vertical","~","",""
"17","1","R7","R100","Device:R_Small","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P7.62mm_Vertical","~","",""
"18","1","U1","WeMos_D1_mini","MCU_Module:WeMos_D1_mini","Module:WEMOS_D1_mini_light","https://wiki.wemos.cc/products:d1:d1_mini#documentation","",""
"19","1","U2","LM386","Amplifier_Audio:LM386","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm386.pdf","",""
"20","1","U3","PCF8574","Interface_Expansion:PCF8574","Package_DIP:DIP-16_W7.62mm","http://www.nxp.com/documents/data_sheet/PCF8574_PCF8574A.pdf","",""
"21","1","U4","SN76489","easylab4kids:SN76489","w_pth_circuits:dil_16-300_socket","https://www.arduino.cc/en/Tutorial/ShiftOut","",""
